txn_id,value_date,description,utr,credit_paise,debit_paise
BNK00022,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR771129426930,UTR771129426930,710819,0
BNK00023,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR486302191590,UTR486302191590,689827,0
BNK00024,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR679291828934,UTR679291828934,52433,0
BNK00025,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR137262158863,UTR137262158863,364685,0
BNK00026,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR554549234949,UTR554549234949,676059,0
BNK00027,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR005766661686,UTR005766661686,412500,0
BNK00028,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR122337373042,UTR122337373042,633588,0
BNK00029,2026-09-15,RAZORPAY PAYOUT CONSOLIDATED 2026-09-15,,1599607,0
BNK00030,2026-09-15,RAZORPAY PAYOUT CONSOLIDATED 2026-09-15,,417707,0
BNK00031,2026-09-15,RAZORPAY PAYOUT CONSOLIDATED 2026-09-15,,224572,0
BNK00032,2026-09-16,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR787716963462,UTR787716963462,40000,0
BNK00033,2026-09-16,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR165911673100,UTR165911673100,897900,0
BNK00034,2026-09-16,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR404494452251,UTR404494452251,77331,0
BNK00035,2026-09-16,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR822104057357,UTR822104057357,347600,0
BNK00036,2026-09-16,RAZORPAY PAYOUT CONSOLIDATED 2026-09-16,,936368,0
BNK00037,2026-09-16,RAZORPAY PAYOUT CONSOLIDATED 2026-09-16,,234336,0
BNK00038,2026-09-17,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR097681175615,UTR097681175615,545100,0
BNK00039,2026-09-17,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR380960703862,UTR380960703862,519800,0
BNK00040,2026-09-17,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR346143056144,UTR346143056144,665700,0
BNK00041,2026-09-17,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR701892980099,UTR701892980099,856010,0
BNK00042,2026-09-17,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR429229782180,UTR429229782180,160520,0
BNK00043,2026-09-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR436780160161,UTR436780160161,859000,0
BNK00044,2026-09-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR921724823350,UTR921724823350,672642,0
BNK00045,2026-09-21,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR279220032151,UTR279220032151,468086,0
BNK00046,2026-09-21,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR144932263090,UTR144932263090,553326,0
BNK00047,2026-09-21,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR313838293894,UTR313838293894,650100,0
BNK00048,2026-09-21,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR299424985254,UTR299424985254,384995,0
BNK00049,2026-09-21,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR810115628229,UTR810115628229,904634,0
BNK00050,2026-09-21,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR636103459505,UTR636103459505,125954,0
BNK00051,2026-09-21,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR129625244516,UTR129625244516,695295,0
BNK00052,2026-09-21,RAZORPAY PAYOUT CONSOLIDATED 2026-09-21,,1542615,0
BNK00053,2026-09-22,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR286975105795,UTR286975105795,15600,0
BNK00054,2026-09-22,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR846653489370,UTR846653489370,939100,0
BNK00055,2026-09-22,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR845132520890,UTR845132520890,614200,0
BNK00056,2026-09-22,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR420503011195,UTR420503011195,83200,0
BNK00057,2026-09-22,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR821152797855,UTR821152797855,48918,0
BNK00058,2026-09-22,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR600435891204,UTR600435891204,536727,0
BNK00059,2026-09-22,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR798795941926,UTR798795941926,825741,0
BNK00060,2026-09-22,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR605379848011,UTR605379848011,53800,0
BNK00061,2026-09-22,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR203199082876,UTR203199082876,603806,0
BNK00062,2026-09-22,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR671996860905,UTR671996860905,290382,0
BNK00063,2026-09-22,RAZORPAY PAYOUT CONSOLIDATED 2026-09-22,,339664,0
BNK00064,2026-09-28,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR681553393242,UTR681553393242,606344,0
BNK00065,2026-09-28,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR546678103059,UTR546678103059,31733,0
