settlement_id,utr,entity_id,entity_type,order_id,payment_id,method,amount_paise,fee_paise,tax_paise,credit_paise,debit_paise,on_hold,settled_at
setl_UQQ6bKbvKCxXN3,UTR104207133222,pay_zmE3X3MfjaIKQK,payment,order_GpW66WQjZJib9Q,pay_zmE3X3MfjaIKQK,netbanking,120300,2406,433,117461,0,false,2026-08-10
setl_Z1TQYWTUAtadFa,UTR936587059044,pay_p0qjU0wAAfNmCU,payment,order_gmx0XWXtUu2WAN,pay_p0qjU0wAAfNmCU,wallet,866700,17334,3120,846246,0,false,2026-08-10
setl_pACgm9CX2dC3HZ,UTR357174007206,pay_yP2tpfoM9SRy78,payment,order_ZErlZNEZECMAHS,pay_yP2tpfoM9SRy78,card,897600,17952,3231,876417,0,false,2026-08-10
setl_q34JNJddsbvef7,UTR800750712724,pay_V9tTXO73BLkRKd,payment,order_DAgT9E6swPUZUh,pay_V9tTXO73BLkRKd,card,202500,4050,729,197721,0,false,2026-08-10
setl_50VqJmvk1XGoE1,UTR510836686135,pay_L92XsHM1vCBQnf,payment,order_ouS2MwOkfGqDJP,pay_L92XsHM1vCBQnf,card,934800,18696,3365,912739,0,false,2026-08-11
setl_50VqJmvk1XGoE1,UTR510836686135,pay_LCCQlNblugLIR0,payment,order_XQTbCJc3zdypNd,pay_LCCQlNblugLIR0,wallet,429400,8588,1546,419266,0,false,2026-08-11
setl_50VqJmvk1XGoE1,UTR510836686135,pay_PtLCQHdNOBNz2A,payment,order_esaTE9COC3i1h8,pay_PtLCQHdNOBNz2A,card,209100,4182,753,204165,0,false,2026-08-11
setl_8JH5LCR7PhWGqN,UTR516967742722,pay_EL4GdvbaTF3RPw,payment,order_fTMu77QF0PlnIf,pay_EL4GdvbaTF3RPw,upi,138300,0,0,138300,0,false,2026-08-11
setl_96EgKTRRlh8hHH,UTR000863950715,pay_KOF7sqYFHnyib3,payment,order_718LZioOxEpRhh,pay_KOF7sqYFHnyib3,card,126500,2530,455,123515,0,false,2026-08-11
setl_C9goQU7Jo4GF9i,UTR088864114406,pay_CmZeR2Axq2eWHr,payment,order_UKzoba2jLCDwEc,pay_CmZeR2Axq2eWHr,upi,628500,0,0,628500,0,false,2026-08-11
setl_KHMOBdPNi9SG06,UTR710473424232,pay_Zqt2RtfmWsgoGh,payment,order_cYlZ5yparc6BwP,pay_Zqt2RtfmWsgoGh,upi,352000,0,0,352000,0,false,2026-08-11
setl_KHMOBdPNi9SG06,UTR710473424232,pay_ewbjZVro009FrM,payment,order_E1IlqRMDaLgWLI,pay_ewbjZVro009FrM,card,704200,14084,2535,687581,0,false,2026-08-11
setl_KHMOBdPNi9SG06,UTR710473424232,pay_kUbMMT5QY9hY0f,payment,order_yVkHit6XG15Is4,pay_kUbMMT5QY9hY0f,wallet,780900,15618,2811,762471,0,false,2026-08-11
setl_R9IUr4Uy9Lr691,UTR144756401173,pay_YqXtij5nn7arij,payment,order_YMYL7umnr6d75H,pay_YqXtij5nn7arij,netbanking,287200,5744,1034,280422,0,false,2026-08-11
setl_Rarnd1CAr0RomK,UTR549617911164,pay_P4OpyYGzLzY1Qb,payment,order_0JlDs1rUgdQIzi,pay_P4OpyYGzLzY1Qb,netbanking,688600,13772,2479,672349,0,false,2026-08-11
setl_XgjfwkhYKjZgMP,UTR178259006358,pay_nnmco1lQznbOUK,payment,order_rprWgpEG9QkqNu,pay_nnmco1lQznbOUK,wallet,371700,7434,1338,362928,0,false,2026-08-11
setl_aE19XFsmzZk25Y,UTR882538425563,pay_CWI4lHX3JDgy5m,payment,order_rxASwqKIbCIT7v,pay_CWI4lHX3JDgy5m,netbanking,61200,1224,220,59756,0,false,2026-08-11
setl_bPn9SXBKtdEGNg,UTR908669938879,pay_woZ9nbwzf3dcI7,payment,order_LJLYDVPXzMxT7f,pay_woZ9nbwzf3dcI7,wallet,507000,10140,1825,495035,0,false,2026-08-11
setl_baDF5IoXhLxAzH,UTR553135394734,pay_0xs5d6GTOpxUmF,payment,order_WLeGXtRhhwJx3Q,pay_0xs5d6GTOpxUmF,card,259200,5184,933,253083,0,false,2026-08-11
setl_dQSriXswO8itAi,UTR809202103835,pay_3cTk9JC8jX64RY,payment,order_W8NR4RNR2sEvFA,pay_3cTk9JC8jX64RY,wallet,881100,17622,3172,860306,0,false,2026-08-11
setl_prRD8twrFPSm5e,UTR205280479872,pay_6A41qGcAmJXWMy,payment,order_H2mOgoFUmX8WYb,pay_6A41qGcAmJXWMy,wallet,573700,11474,2065,560161,0,false,2026-08-11
setl_prRD8twrFPSm5e,UTR205280479872,pay_X0TNbHqyQlpoiC,payment,order_MjkQdOemfMKSSC,pay_X0TNbHqyQlpoiC,card,142600,2852,513,139235,0,false,2026-08-11
setl_prRD8twrFPSm5e,UTR205280479872,rfnd_eWo3y7hC1dW6bF,refund,order_MjkQdOemfMKSSC,pay_X0TNbHqyQlpoiC,card,142600,0,0,0,142600,false,2026-08-11
setl_1EhmdTkXDBsxEv,UTR087642442441,pay_ayGVVSoehq5A07,payment,order_I1jfTNAnafJr57,pay_ayGVVSoehq5A07,wallet,455300,9106,1639,444555,0,false,2026-08-12
setl_DyTyJVIEI1qizS,UTR599260353874,pay_AnNwasXrTU9jvk,payment,order_Ip7alDKxpxvpbn,pay_AnNwasXrTU9jvk,netbanking,143200,2864,516,139820,0,false,2026-08-12
setl_DyTyJVIEI1qizS,UTR599260353874,pay_IqHIRFsfrqHUhU,payment,order_IXYyu41jCirtTG,pay_IqHIRFsfrqHUhU,card,204200,4084,735,199381,0,false,2026-08-12
setl_DyTyJVIEI1qizS,UTR599260353874,rfnd_N7ioZpjEMkYGXL,refund,order_Ip7alDKxpxvpbn,pay_AnNwasXrTU9jvk,netbanking,143200,0,0,0,143200,false,2026-08-12
setl_IBvwkwKTEO1N0G,UTR803422441364,pay_Gvqn4ShVoOZ7hi,payment,order_7QbWJrQhx5IpYa,pay_Gvqn4ShVoOZ7hi,card,755600,15112,2720,737768,0,false,2026-08-12
setl_SICrsq7fpHjyoF,UTR944555878451,pay_lTzPuQ8rSjAgyV,payment,order_UzNVWIKc8T8M86,pay_lTzPuQ8rSjAgyV,card,78000,1560,281,76159,0,false,2026-08-12
setl_ALx2XvMbfxrGf5,UTR238433282095,pay_UrLFrK6zSQzGYR,payment,order_Oe0RhwjFtOzbjs,pay_UrLFrK6zSQzGYR,upi,926700,0,0,926700,0,false,2026-08-13
setl_M8XSBhQ5snfHcg,UTR132912564420,pay_XCNbQv0uoEfu4I,payment,order_S5qfQUO2u0ItyR,pay_XCNbQv0uoEfu4I,upi,633100,0,0,633100,0,false,2026-08-13
setl_QPIXHqWZy77hzd,UTR759427035741,pay_19psZjsdM5G5GC,payment,order_YMJJ35wDvuxqJQ,pay_19psZjsdM5G5GC,upi,258500,0,0,258500,0,false,2026-08-13
setl_hq3vyYfG5uc1Te,UTR456387036755,pay_8sTlHrnfkFjc9J,payment,order_UxTIE9hGw1UGpP,pay_8sTlHrnfkFjc9J,card,82500,1650,297,80553,0,false,2026-08-13
setl_s4lOW560XHmwSS,UTR460424810490,pay_DG9II3bJ9u5MdY,payment,order_ZYAiLmpLF2uM4u,pay_DG9II3bJ9u5MdY,wallet,603800,12076,2174,589550,0,false,2026-08-13
setl_CwdnTcVimhadED,UTR829469091005,pay_ff8xqbWQH58Glk,payment,order_pIMsyMnrgzd7Ml,pay_ff8xqbWQH58Glk,upi,671800,0,0,671800,0,false,2026-08-14
setl_JG15I2XD4nYqXa,UTR945426231009,pay_GE32Z9sIYdZMRU,payment,order_R2RAQJIygbaNTO,pay_GE32Z9sIYdZMRU,card,75000,1500,270,73230,0,false,2026-08-14
setl_JG15I2XD4nYqXa,UTR945426231009,pay_SoRycn1AkyIAOC,payment,order_R06RKuIuMwRL6a,pay_SoRycn1AkyIAOC,card,30000,600,108,29292,0,false,2026-08-14
setl_TLDllBFSZCsraT,UTR184386803771,pay_Kg7zveKsab0iDO,payment,order_BaGL7Q7rSSnufy,pay_Kg7zveKsab0iDO,card,105000,2100,378,102522,0,false,2026-08-14
setl_f4WNHw9n9axns1,UTR265898213440,pay_vyX9jHEe9uf8eP,payment,order_aWehkq2kIDIvPH,pay_vyX9jHEe9uf8eP,upi,98100,0,0,98100,0,false,2026-08-14
setl_ppHvOvKz5xQoO2,UTR666862610048,pay_0vbmBDQ766xZxf,payment,order_Qq9BjL23qzUR1Z,pay_0vbmBDQ766xZxf,netbanking,881000,17620,3172,860208,0,false,2026-08-14
setl_u3SYO1E1qvI52U,UTR188074329669,pay_ULrgy2q9w2pqSk,payment,order_DUbUhQsSrY2MqW,pay_ULrgy2q9w2pqSk,card,398300,7966,1434,388900,0,false,2026-08-14
setl_LnYutWu9hEcRyN,UTR140241274524,pay_fRwWErvW8WRXbG,payment,order_VYegv9UmVNPZ2J,pay_fRwWErvW8WRXbG,upi,655100,0,0,655100,0,false,2026-08-17
setl_Rq50oXPYcC4r8A,UTR582485023027,pay_mM1SJfV0puetHo,payment,order_x0xKc39t6EMqVx,pay_mM1SJfV0puetHo,card,808000,16160,2909,788931,0,false,2026-08-17
setl_TbpPKARa27rX8f,UTR815999244114,pay_9lSGpF53twNTWH,payment,order_nssJ4hGzpIT6cU,pay_9lSGpF53twNTWH,wallet,133600,2672,481,130447,0,false,2026-08-17
setl_TbpPKARa27rX8f,UTR815999244114,pay_tc8GkU3UtUbKuM,payment,order_l4aZV3Y80CQ4cp,pay_tc8GkU3UtUbKuM,card,531000,10620,1912,518468,0,false,2026-08-17
setl_TbpPKARa27rX8f,UTR815999244114,rfnd_eNLiXaeNI8qWtm,refund,order_nssJ4hGzpIT6cU,pay_9lSGpF53twNTWH,wallet,133600,0,0,0,133600,false,2026-08-17
setl_fnOTsi8IeQi3DS,UTR152589424489,pay_RAsbl0ERVHOiM0,payment,order_19ZrRWUIZyQvUJ,pay_RAsbl0ERVHOiM0,upi,227300,0,0,227300,0,false,2026-08-17
setl_qqDX8y884cZ5B1,UTR763791522999,pay_eXI1BW1Iy4iqnB,payment,order_wpZWng8Nam1qVw,pay_eXI1BW1Iy4iqnB,netbanking,438600,8772,1579,428249,0,false,2026-08-17
setl_sVOaDsziskU3dy,UTR902952483708,pay_XySl8dT526AQfj,payment,order_vTyMIpEAEVe2XH,pay_XySl8dT526AQfj,card,769700,15394,2771,751535,0,false,2026-08-17
setl_EYks4mzI82bMBj,UTR191130303756,pay_fWBeEdFr1bdnlT,payment,order_Ae9FfHZZJlZc6g,pay_fWBeEdFr1bdnlT,upi,339400,0,0,339400,0,false,2026-08-18
setl_FT412YscF6YH0l,UTR980335220996,pay_Ye8xwIgFZqLNhR,payment,order_AIdo9fTKe10L6l,pay_Ye8xwIgFZqLNhR,netbanking,161200,3224,580,157396,0,false,2026-08-18
setl_G3lzxbJfLzsZaC,UTR348357760894,pay_CnLwbLo3coL6dw,payment,order_MlEogH1HrjNHB7,pay_CnLwbLo3coL6dw,wallet,927200,18544,3338,905318,0,false,2026-08-18
setl_HisJpJ8KcpioH1,UTR736384276399,pay_VTIiLYYgU6bUkN,payment,order_eboVYA7zFdnog8,pay_VTIiLYYgU6bUkN,netbanking,740600,14812,2666,723122,0,false,2026-08-18
setl_OWDVpQoZq1i7bz,UTR194103966444,pay_U60chwG1BfBiMP,payment,order_cfrK9UvAcJyvT9,pay_U60chwG1BfBiMP,upi,164500,0,0,164500,0,false,2026-08-18
setl_THGUufLSpR6RUr,UTR603378642827,pay_KeatpRomlI8cY6,payment,order_xegrn3e8zHplmQ,pay_KeatpRomlI8cY6,netbanking,903600,18072,3253,882275,0,false,2026-08-18
setl_THGUufLSpR6RUr,UTR603378642827,pay_Yz6HCJkXrsb6q4,payment,order_lJC40mBAW7jZXu,pay_Yz6HCJkXrsb6q4,wallet,42200,844,152,41204,0,false,2026-08-18
setl_THGUufLSpR6RUr,UTR603378642827,pay_lnueD0vFBTWuSq,payment,order_YOtZiJ6xLuLg3i,pay_lnueD0vFBTWuSq,upi,288800,0,0,288800,0,false,2026-08-18
setl_WGesVt5K8C6fZi,UTR073504135392,pay_Ra8VKD4kIV7M2v,payment,order_lMrZ9pfnXnj0Vx,pay_Ra8VKD4kIV7M2v,card,63800,1276,230,62294,0,false,2026-08-18
setl_WknCDi9TbJuLtk,UTR175928936176,pay_KB9DVavRKupRIX,payment,order_i8Vpu12zOK6rAp,pay_KB9DVavRKupRIX,upi,277500,0,0,277500,0,false,2026-08-18
setl_gBTfPezu8ZM9jM,UTR924741897941,pay_TBGdpoYcAbKJRi,payment,order_HMA5ojirEiOLNf,pay_TBGdpoYcAbKJRi,upi,111000,0,0,111000,0,false,2026-08-18
setl_iRUUb3z1bLZZLZ,UTR601198582074,pay_8ibLIPjqC3PTik,payment,order_iNt5FPd5BArTFD,pay_8ibLIPjqC3PTik,upi,322200,0,0,322200,0,false,2026-08-18
setl_kJTZDeWApYcczJ,UTR404369641771,pay_IYtxTXiroExaPv,payment,order_M6K8vsoXq6zLfQ,pay_IYtxTXiroExaPv,card,361100,7222,1300,352578,0,false,2026-08-18
setl_t0GQyY5oNP1aTm,UTR379916689944,pay_h3Gj22cdY8TkPq,payment,order_c0j8uX5VSj2A2N,pay_h3Gj22cdY8TkPq,upi,341100,0,0,341100,0,false,2026-08-18
