order_id,payment_id,amount_paise,currency,method,status,captured_at
order_ouS2MwOkfGqDJP,pay_L92XsHM1vCBQnf,934800,INR,card,paid,2026-08-08
order_rxASwqKIbCIT7v,pay_CWI4lHX3JDgy5m,61200,INR,netbanking,paid,2026-08-08
order_yVkHit6XG15Is4,pay_kUbMMT5QY9hY0f,780900,INR,wallet,paid,2026-08-08
order_UKzoba2jLCDwEc,pay_CmZeR2Axq2eWHr,628500,INR,upi,paid,2026-08-09
order_WLeGXtRhhwJx3Q,pay_0xs5d6GTOpxUmF,259200,INR,card,paid,2026-08-09
order_fTMu77QF0PlnIf,pay_EL4GdvbaTF3RPw,138300,INR,upi,paid,2026-08-09
order_7QbWJrQhx5IpYa,pay_Gvqn4ShVoOZ7hi,755600,INR,card,paid,2026-08-10
order_I1jfTNAnafJr57,pay_ayGVVSoehq5A07,455300,INR,wallet,paid,2026-08-10
order_IXYyu41jCirtTG,pay_IqHIRFsfrqHUhU,204200,INR,card,paid,2026-08-10
order_Ip7alDKxpxvpbn,pay_AnNwasXrTU9jvk,143200,INR,netbanking,refunded,2026-08-10
order_UzNVWIKc8T8M86,pay_lTzPuQ8rSjAgyV,78000,INR,card,paid,2026-08-10
order_Oe0RhwjFtOzbjs,pay_UrLFrK6zSQzGYR,926700,INR,upi,paid,2026-08-11
order_S5qfQUO2u0ItyR,pay_XCNbQv0uoEfu4I,633100,INR,upi,paid,2026-08-11
order_UxTIE9hGw1UGpP,pay_8sTlHrnfkFjc9J,82500,INR,card,paid,2026-08-11
order_YMJJ35wDvuxqJQ,pay_19psZjsdM5G5GC,258500,INR,upi,paid,2026-08-11
order_ZYAiLmpLF2uM4u,pay_DG9II3bJ9u5MdY,603800,INR,wallet,paid,2026-08-11
order_BaGL7Q7rSSnufy,pay_Kg7zveKsab0iDO,105000,INR,card,paid,2026-08-12
order_DUbUhQsSrY2MqW,pay_ULrgy2q9w2pqSk,398300,INR,card,paid,2026-08-12
order_Qq9BjL23qzUR1Z,pay_0vbmBDQ766xZxf,881000,INR,netbanking,paid,2026-08-12
order_R06RKuIuMwRL6a,pay_SoRycn1AkyIAOC,30000,INR,card,paid,2026-08-12
order_R2RAQJIygbaNTO,pay_GE32Z9sIYdZMRU,75000,INR,card,paid,2026-08-12
order_aWehkq2kIDIvPH,pay_vyX9jHEe9uf8eP,98100,INR,upi,paid,2026-08-12
order_pIMsyMnrgzd7Ml,pay_ff8xqbWQH58Glk,671800,INR,upi,paid,2026-08-12
order_19ZrRWUIZyQvUJ,pay_RAsbl0ERVHOiM0,227300,INR,upi,paid,2026-08-13
order_VYegv9UmVNPZ2J,pay_fRwWErvW8WRXbG,655100,INR,upi,paid,2026-08-13
order_l4aZV3Y80CQ4cp,pay_tc8GkU3UtUbKuM,531000,INR,card,paid,2026-08-13
order_nssJ4hGzpIT6cU,pay_9lSGpF53twNTWH,133600,INR,wallet,refunded,2026-08-13
order_vTyMIpEAEVe2XH,pay_XySl8dT526AQfj,769700,INR,card,paid,2026-08-13
order_wpZWng8Nam1qVw,pay_eXI1BW1Iy4iqnB,438600,INR,netbanking,paid,2026-08-13
order_x0xKc39t6EMqVx,pay_mM1SJfV0puetHo,808000,INR,card,paid,2026-08-13
order_MlEogH1HrjNHB7,pay_CnLwbLo3coL6dw,927200,INR,wallet,paid,2026-08-14
order_eboVYA7zFdnog8,pay_VTIiLYYgU6bUkN,740600,INR,netbanking,paid,2026-08-14
order_iNt5FPd5BArTFD,pay_8ibLIPjqC3PTik,322200,INR,upi,paid,2026-08-14
order_lJC40mBAW7jZXu,pay_Yz6HCJkXrsb6q4,42200,INR,wallet,paid,2026-08-14
order_xegrn3e8zHplmQ,pay_KeatpRomlI8cY6,903600,INR,netbanking,paid,2026-08-14
order_AIdo9fTKe10L6l,pay_Ye8xwIgFZqLNhR,161200,INR,netbanking,paid,2026-08-15
order_Ae9FfHZZJlZc6g,pay_fWBeEdFr1bdnlT,339400,INR,upi,paid,2026-08-15
order_HMA5ojirEiOLNf,pay_TBGdpoYcAbKJRi,111000,INR,upi,paid,2026-08-15
order_YOtZiJ6xLuLg3i,pay_lnueD0vFBTWuSq,288800,INR,upi,paid,2026-08-15
order_c0j8uX5VSj2A2N,pay_h3Gj22cdY8TkPq,341100,INR,upi,paid,2026-08-15
order_i8Vpu12zOK6rAp,pay_KB9DVavRKupRIX,277500,INR,upi,paid,2026-08-15
order_M6K8vsoXq6zLfQ,pay_IYtxTXiroExaPv,361100,INR,card,paid,2026-08-16
order_cfrK9UvAcJyvT9,pay_U60chwG1BfBiMP,164500,INR,upi,paid,2026-08-16
order_lMrZ9pfnXnj0Vx,pay_Ra8VKD4kIV7M2v,63800,INR,card,paid,2026-08-16
