txn_id,value_date,description,utr,credit_paise,debit_paise
BNK00048,2026-08-17,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR152589424489,UTR152589424489,227300,0
BNK00049,2026-08-17,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR763791522999,UTR763791522999,428249,0
BNK00050,2026-08-17,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR140241274524,UTR140241274524,655100,0
BNK00051,2026-08-17,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR902952483708,UTR902952483708,751535,0
BNK00052,2026-08-17,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR582485023027,UTR582485023027,788929,0
BNK00053,2026-08-17,RAZORPAY PAYOUT CONSOLIDATED 2026-08-17,,515315,0
BNK00054,2026-08-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR924741897941,UTR924741897941,111000,0
BNK00055,2026-08-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR191130303756,UTR191130303756,339400,0
BNK00056,2026-08-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR194103966444,UTR194103966444,164500,0
BNK00057,2026-08-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR175928936176,UTR175928936176,277500,0
BNK00058,2026-08-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR379916689944,UTR379916689944,341100,0
BNK00059,2026-08-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR601198582074,UTR601198582074,322200,0
BNK00060,2026-08-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR980335220996,UTR980335220996,157396,0
BNK00061,2026-08-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR404369641771,UTR404369641771,352578,0
BNK00062,2026-08-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR073504135392,UTR073504135392,62294,0
BNK00063,2026-08-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR348357760894,UTR348357760894,905318,0
BNK00064,2026-08-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR736384276399,UTR736384276399,723122,0
BNK00065,2026-08-18,RAZORPAY PAYOUT CONSOLIDATED 2026-08-18,,1212279,0
